# unbeamed dexter data from tavecchio et al. 2008 fig 4
12.34	-5.899
12.38	-5.789
12.41	-5.625
12.46	-5.470
12.50	-5.305
12.55	-5.187
12.62	-5.050
12.69	-4.913
12.75	-4.794
12.82	-4.684
12.87	-4.593
12.96	-4.484
13.02	-4.401
13.08	-4.301
13.15	-4.200
13.25	-4.091
13.34	-3.954
13.42	-3.835
13.51	-3.744
13.59	-3.652
13.67	-3.570
13.74	-3.497
13.83	-3.424
13.89	-3.360
13.96	-3.305
14.01	-3.260
14.09	-3.205
14.18	-3.132
14.21	-3.050
14.25	-3.086
14.30	-3.068
14.33	-2.968
14.36	-2.922
14.39	-2.949
14.45	-2.757
14.50	-2.913
14.55	-2.913
14.57	-2.721
14.62	-2.712
14.66	-2.328
14.70	-2.721
14.75	-2.767
14.79	-2.584
14.83	-2.794
14.89	-2.821
14.93	-2.246
14.98	-2.347
15.04	-2.447
15.06	-2.547
15.10	-2.602
15.14	-2.675
15.18	-2.739
15.22	-2.356
15.26	-2.712
15.28	-2.657
15.28	-2.155
15.32	-1.388
15.35	-0.2648
15.39	0.2922
15.43	-0.2648
15.44	-1.105
15.48	-2.237
15.57	-2.465
15.60	-2.703
15.63	-2.922
15.69	-3.205
15.73	-3.515
15.78	-2.392
15.81	-2.812
15.82	-2.977
15.83	-3.205
15.86	-3.488
15.90	-3.826
15.93	-2.949
15.95	-1.543
16.00	-0.4931
16.04	-1.607
16.04	-3.479
16.06	-3.917
16.12	-2.958
16.17	-3.232
16.21	-3.680
16.26	-4.511
16.36	-4.675
16.47	-4.767
16.61	-4.365
16.66	-4.803
16.75	-4.922
16.84	-4.922
16.94	-4.474
17.06	-4.584
17.19	-4.694
17.30	-4.566
17.36	-4.739
17.42	-4.995
17.54	-4.913
17.61	-4.840
17.68	-4.694
17.76	-4.584
17.84	-4.474
17.93	-4.383
18.01	-4.301
18.08	-4.246
18.15	-4.191
18.18	-2.913
18.29	-4.173
18.38	-4.164
18.49	-4.136
18.59	-4.127
18.67	-4.127
18.76	-4.136
18.91	-4.136
19.06	-4.127
19.21	-4.127
19.39	-4.146
19.53	-4.292
19.65	-4.456
19.80	-4.611
19.91	-4.739
19.99	-4.867
20.10	-5.004
20.22	-5.178
20.36	-5.378
20.46	-5.543
20.56	-5.680
20.66	-5.835
20.72	-5.936
